"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"SIEMENS",35,749.79,3817.8,26242.52,133623,107380.48,409.19,0,""
"SUNPHARMA",139,582.57,1808.3,80977.15,251353.7,170376.55,210.4,0,""
"SYNGENE",75,581.84,467.9,43638,35092.5,-8545.5,-19.58,0,""
"TATACONSUM",46,794.51,1144.6,36547.3,52651.6,16104.3,44.06,0,""
"TATASTEEL",1050,40.48,211.36,42500.25,221928,179427.75,422.18,0,""
"TCS",33,3575.9,2473.9,118004.55,81638.7,-36365.85,-30.82,0,""
"TITAN",24,2584.4,4385.95,62025.6,105262.8,43237.2,69.71,0,""
"TVSMNCRPS",56,0,10.21,0,571.76,571.76,0,0,""
"TVSMOTOR",14,2306.82,3492.9,32295.45,48900.6,16605.15,51.42,0,""
"UNOMINDA",30,373.77,1112.8,11213.05,33384,22170.95,197.72,0,""
"VBL",110,130.18,514.15,14319.65,56556.5,42236.85,294.96,0,""
"ZYDUSLIFE",54,896.15,891.9,48392.1,48162.6,-229.5,-0.47,0,""
